,50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,76500808-91fd-432e-ab2c-7beb76c40a5e,1,,,,3754008,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3267, 'name': 'Luis Antonio Valencia Mosquera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 36}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Manchester United,39,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,aa055acb-5d8c-4082-8eca-02606f150471,2,,,,3754008,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 42902, 'name': 'Adam Johnson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sunderland,41,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,42ddfb7f-1a7e-4994-b2e5-3fa4939013f7,3,,,,3754008,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['0079bd4c-15dd-45e2-924f-dfff22e38edf'],0,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0079bd4c-15dd-45e2-924f-dfff22e38edf,4,,,,3754008,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['42ddfb7f-1a7e-4994-b2e5-3fa4939013f7'],0,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bdf2cdca-12c8-4ea9-8f81-990c6a284eff,1703,,,,3754008,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Manchester United,39,['8d8f0d63-0c45-4c10-9e3f-5d75e4378d9e'],0,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d8f0d63-0c45-4c10-9e3f-5d75e4378d9e,1704,,,,3754008,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Manchester United,39,['bdf2cdca-12c8-4ea9-8f81-990c6a284eff'],0,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,0.602754,,,,,,,,,,,,6673e195-69d5-4f9a-8360-0f9b9c9100ae,5,,,"[61.0, 40.1]",3754008,0,,,,,-1.4677147,,Right Foot,,,,"[61.3, 37.2]",,Ground Pass,,2.9154758,,,,Lee Cattermole,,,,,,Kick Off,1,From Kick Off,Fabio Borini,7171.0,Center Forward,2,Sunderland,41,['3661b849-9340-495a-9517-665e93ddeab3'],0,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.876,Pass,
7,,,,,,,,,,,,,,,,,,0.800367,,,,,,,,,,,,b847862c-342f-40b3-b949-4f1017486e58,7,,,"[60.7, 37.3]",3754008,0,,,,,2.3837104,,Right Foot,,,,"[55.1, 42.6]",,Ground Pass,,7.7103825,,,,Younes Kaboul,,,,,,,1,From Kick Off,Lee Cattermole,10783.0,Center Defensive Midfield,2,Sunderland,41,['3942c6bb-20cc-483d-aa78-0849502ddd08'],1,,,,,,,,,,,,,,,,Sunderland,41,00:00:01.479,Pass,
8,,,,,,,,,,,,,,,,,,3.058883,,,,,,,,,,,,a5dc7154-0a7c-42b9-873a-06157801c01f,10,,,"[55.2, 43.4]",3754008,0,,,,,-0.9257875,,Right Foot,,,,"[87.1, 1.0]",,High Pass,,53.06006,,Out,,,,,True,,,,1,From Kick Off,Younes Kaboul,4746.0,Left Center Back,2,Sunderland,41,,2,,,,,,,,,,,,,,,,Sunderland,41,00:00:02.319,Pass,
9,,,,,,,,,,,,,,,,,,0.921049,,,,,,,,,,,,981dd0c2-7722-46e2-9574-4fb0864d9809,11,,,"[30.9, 80.0]",3754008,0,,,,,-1.7837347,,,,,,"[28.5, 68.9]",,Low Pass,,11.356496,,,,Michael Carrick,,,,,,Throw-in,1,From Throw In,Luis Antonio Valencia Mosquera,3267.0,Right Back,3,Manchester United,39,['13325d7b-ee72-4c82-9d94-349c364c9f13'],12,,,,,,,,,,,,,,,,Manchester United,39,00:00:12.136,Pass,
