,player,team,pass_recipient,x_start,y_start,x_end,y_end,pass_outcome
2,Nahuel Molina Lucero,Argentina,Rodrigo Javier De Paul,22.7,80.0,36.0,75.2,Complete
3,Rodrigo Javier De Paul,Argentina,Cristian Gabriel Romero,41.1,73.9,23.2,62.8,Complete
4,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,24.7,59.4,21.5,32.2,Complete
5,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,24.0,27.1,21.7,49.3,Complete
6,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,22.1,49.8,24.0,27.3,Complete
7,Nicolás Hernán Otamendi,Argentina,Nicolás Alejandro Tagliafico,21.7,24.5,26.6,3.1,Complete
8,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,29.2,2.5,45.6,4.2,Complete
9,Nicolás Alejandro Tagliafico,Argentina,Nicolás Hernán Otamendi,44.1,3.8,20.8,11.9,Complete
10,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,21.7,17.7,19.7,33.3,Complete
11,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,30.9,42.5,27.9,22.6,Complete
12,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,29.8,29.2,27.0,45.9,Complete
13,Cristian Gabriel Romero,Argentina,Nicolás Hernán Otamendi,32.1,54.5,25.9,31.6,Complete
14,Nicolás Hernán Otamendi,Argentina,Damián Emiliano Martínez,24.7,29.0,5.6,42.3,Complete
15,Damián Emiliano Martínez,Argentina,,3.9,43.4,53.1,72.9,Incomplete
22,Nicolás Alejandro Tagliafico,Argentina,Alexis Mac Allister,72.6,0.1,69.6,7.6,Complete
23,Alexis Mac Allister,Argentina,Lionel Andrés Messi Cuccittini,67.4,20.7,77.5,36.9,Complete
24,Lionel Andrés Messi Cuccittini,Argentina,Ángel Fabián Di María Hernández,76.6,35.7,116.2,8.9,Complete
25,Ángel Fabián Di María Hernández,Argentina,,116.0,8.9,104.9,49.3,Incomplete
26,Rodrigo Javier De Paul,Argentina,Lionel Andrés Messi Cuccittini,93.1,53.2,100.4,57.7,Complete
27,Lionel Andrés Messi Cuccittini,Argentina,Rodrigo Javier De Paul,99.3,57.3,96.7,49.8,Complete
28,Rodrigo Javier De Paul,Argentina,Julián Álvarez,96.7,49.8,110.9,44.6,Pass Offside
31,Alexis Mac Allister,Argentina,Nicolás Hernán Otamendi,48.9,15.4,39.2,16.6,Complete
32,Nicolás Hernán Otamendi,Argentina,Cristian Gabriel Romero,37.4,19.2,26.0,29.3,Complete
33,Cristian Gabriel Romero,Argentina,Lionel Andrés Messi Cuccittini,27.4,29.9,64.2,43.6,Unknown
34,Rodrigo Javier De Paul,Argentina,Nicolás Hernán Otamendi,64.2,43.6,57.2,26.7,Complete
35,Nicolás Hernán Otamendi,Argentina,Enzo Fernandez,57.2,26.7,54.4,37.8,Complete
36,Enzo Fernandez,Argentina,Cristian Gabriel Romero,54.8,37.8,56.5,60.5,Complete
37,Cristian Gabriel Romero,Argentina,Nahuel Molina Lucero,56.1,61.3,67.9,73.5,Complete
38,Nahuel Molina Lucero,Argentina,Lionel Andrés Messi Cuccittini,68.9,74.4,79.0,59.8,Incomplete
40,Lionel Andrés Messi Cuccittini,Argentina,Cristian Gabriel Romero,67.9,59.0,49.0,60.3,Complete
